UserID,No_of_days_Visited_7_Days,No_Of_Products_Viewed_15_Days,User_Vintage,Most_Viewed_product_15_Days,Most_Active_OS,Recently_Viewed_Product,Pageloads_last_7_days,Clicks_last_7_days
U100002,0,2,1185.0,PR100258,Andriod,PR100082,0,0
U100003,2,3,2153.0,PR100079,Windows,PR100463,1,1
U100004,1,15,1473.0,,Windows,PR100753,1,0
U100005,2,3,1813.0,PR100234,Andriod,PR101249,1,0
U100006,0,0,1185.0,PR100010,Andriod,PR100719,0,0
U100007,0,0,1592.0,PR100279,Windows,PR100844,0,0
U100008,49,20,1527.0,PR100184,Andriod,PR100855,20,23
U100009,8,10,1210.0,PR100167,Andriod,PR100086,3,4
U100012,25,8,1256.0,PR100055,Mac OS X,PR100017,5,14
U100013,9,5,2819.0,PR100177,Mac OS X,PR100134,5,3
U100014,3,6,1287.0,,Windows,,1,2
U100015,15,7,1791.0,PR100044,Andriod,PR100017,3,8
U100016,1,1,1246.0,PR100172,Andriod,PR100172,1,0
U100017,1,1,1177.0,,Windows,PR100115,0,0
U100018,32,6,1176.0,PR100133,Windows,PR100403,6,21
U100019,23,8,1449.0,PR100040,Windows,PR100017,5,15
U100020,0,3,1295.0,PR100558,Mac OS X,PR100102,0,0
U100023,7,5,1569.0,PR100181,Windows,PR100446,6,0
U100024,2,2,1217.0,PR100025,Andriod,PR100113,2,0
U100025,0,0,1261.0,PR100651,Windows,PR100134,0,0
U100026,5,3,1200.0,,Windows,PR100102,1,2
U100027,58,56,3389.0,,Windows,PR100965,14,36
U100028,0,1,1258.0,PR101619,Andriod,PR100562,0,0
U100029,2,2,1706.0,PR100301,Mac OS X,PR100329,1,1
U100030,8,8,1236.0,PR100316,Mac OS X,PR100330,2,4
U100031,74,16,1546.0,PR100097,Windows,,8,61
U100032,235,14,1237.0,PR100072,Windows,PR100268,4,204
U100033,0,0,1216.0,PR100558,Andriod,PR100202,0,0
U100034,152,115,1585.0,,Windows,PR101609,98,37
U100035,0,0,1205.0,PR100036,Andriod,PR102005,0,0
U100036,13,5,1243.0,PR100123,Windows,PR100266,3,10
U100038,26,16,1266.0,PR100072,Ios,PR100072,11,11
U100039,0,1,3389.0,PR100047,Mac OS X,PR100328,0,0
U100040,8,6,1467.0,PR100513,Windows,PR100019,5,3
U100042,0,0,1199.0,PR100721,Windows,PR100070,0,0
U100043,49,15,1578.0,PR100017,Windows,PR100515,14,28
U100044,1,1,1207.0,PR101029,Windows,,0,0
U100045,4,4,1480.0,,Andriod,PR101616,3,0
U100047,0,1,1452.0,PR101061,Windows,PR100794,0,0
U100048,0,1,1213.0,PR100590,Mac OS X,PR100226,0,0
U100049,3,2,1354.0,PR100025,Andriod,PR102463,1,1
U100050,50,6,1196.0,PR100190,Windows,PR100190,28,21
U100051,6,5,3389.0,PR100316,Andriod,PR100086,5,0
U100052,0,3,1229.0,PR100069,Linux,PR100906,0,0
U100053,0,0,1181.0,,Windows,PR100055,0,0
U100054,0,1,2604.0,PR100224,Andriod,PR100017,0,0
U100056,0,1,1225.0,PR100369,Andriod,PR100144,0,0
U100057,0,0,1808.0,PR100663,Andriod,PR100663,0,0
U100058,8,5,2021.0,PR100166,Windows,PR100166,8,0
U100059,0,0,1175.0,PR102648,Andriod,PR100286,0,0
U100061,2,4,1189.0,PR100025,Andriod,PR100073,2,0
U100062,0,0,1197.0,PR100906,Windows,PR100134,0,0
U100063,2,6,2198.0,PR100258,Mac OS X,PR102929,1,0
U100065,4,6,1787.0,PR100015,Andriod,,2,2
U100066,2,3,1286.0,PR100942,Andriod,PR100942,2,0
U100067,30,2,1638.0,PR100102,Andriod,PR100102,4,24
U100068,1,1,1405.0,PR100498,Andriod,PR100200,1,0
U100069,91,14,2910.0,PR100657,Windows,PR100965,8,72
U100070,105,37,1717.0,PR100166,Windows,PR100812,36,57
U100071,0,12,1221.0,PR100430,Andriod,PR101275,0,0
U100072,0,0,1352.0,PR100119,Andriod,PR100036,0,0
U100073,1,1,1217.0,PR100178,Windows,PR100102,1,0
U100074,0,1,1178.0,PR100341,Linux,,0,0
U100075,4,2,1597.0,PR101618,Linux,PR100102,2,0
U100076,2,5,1217.0,PR100025,Andriod,PR100576,2,0
U100077,0,7,2190.0,PR100101,Andriod,,0,0
U100078,4,6,1207.0,PR100073,Andriod,PR101111,1,1
U100079,46,9,1180.0,PR100060,Mac OS X,PR100773,4,35
U100080,42,12,1384.0,PR100036,Windows,PR100065,9,30
U100081,113,48,1831.0,PR100430,Windows,PR100498,47,49
U100082,5,9,1262.0,PR100069,Windows,PR100069,4,1
U100083,7,6,1270.0,PR100003,Windows,PR100340,3,4
U100084,7,9,1190.0,PR101249,Andriod,PR100200,7,0
U100085,2,3,1199.0,PR100994,Windows,PR100094,2,0
U100086,0,0,2724.0,PR100016,Windows,PR100258,0,0
U100088,8,25,1177.0,PR100166,Ubuntu,PR100095,5,3
U100089,24,16,2708.0,PR101975,Andriod,PR100137,12,4
U100090,5,13,1879.0,PR100301,Mac OS X,PR100241,4,1
U100091,67,19,1240.0,,Windows,PR100095,20,37
U100092,54,7,1608.0,PR100900,Mac OS X,,3,42
U100093,36,4,1193.0,PR100059,Windows,PR100060,4,28
U100094,0,0,1243.0,PR100070,Windows,PR100134,0,0
U100095,23,18,2278.0,PR100618,Mac OS X,PR100657,9,8
U100096,70,43,1968.0,PR100098,Windows,PR100637,57,6
U100097,1,1,1207.0,PR101203,Windows,PR100146,0,1
U100098,6,19,1365.0,PR100166,Windows,,2,3
U100100,20,7,1214.0,PR100086,Windows,PR100086,1,14
U100101,0,0,1380.0,PR100939,Windows,PR100657,0,0
U100102,84,28,1220.0,PR100390,Mac OS X,PR100390,32,40
U100103,0,0,1176.0,PR100017,Windows,PR100158,0,0
U100104,0,0,2305.0,,Windows,PR100017,0,0
U100105,25,5,1446.0,PR100390,Windows,PR102284,9,11
U100109,2,2,1175.0,PR102998,Andriod,PR100200,2,0
U100110,5,8,1579.0,PR100811,Windows,PR101101,3,2
U100111,0,0,1353.0,PR100492,Mac OS X,PR100872,0,0
U100112,2,2,1203.0,PR100676,Andriod,PR100102,1,0
U100113,10,7,1295.0,,Windows,PR100178,2,7
U100115,39,19,1182.0,PR100997,Mac OS X,PR100134,3,34
U100116,0,0,1180.0,PR100102,Mac OS X,PR100036,0,0
U100117,0,0,1293.0,PR100369,Andriod,PR100325,0,0
U100118,33,11,1248.0,PR100390,Windows,PR100123,14,12
U100119,1,1,1928.0,PR100146,Windows,PR100030,1,0
U100122,0,0,1191.0,PR100071,Windows,PR100200,0,0
U100123,0,0,1376.0,PR100102,Mac OS X,PR100102,0,0
U100125,2,5,1679.0,PR100739,Andriod,PR100102,1,0
U100126,1,1,1215.0,PR101686,Andriod,PR100946,1,0
U100127,0,0,1254.0,PR100367,Windows,,0,0
U100129,1,2,1920.0,PR100137,Mac OS X,PR102072,0,1
